Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,98.0,1.6085,55.34,1.1705,65.93,91.2,0.0009972609476841367,0.0,4.0
2,89.7,1.0039,70.08,1.0179,70.34,93.32,0.0009890738003669028,0.0,4.0
3,91.6,0.811,75.51,0.9315,72.51,94.36,0.0009755282581475768,0.0,4.0
4,89.1,0.6781,79.18,0.9403,72.98,94.28,0.0009567727288213003,0.0,4.0
5,89.9,0.5793,82.0,0.9577,73.19,93.81,0.0009330127018922195,0.0,4.0
6,88.8,0.4933,84.14,1.0076,73.49,93.99,0.0009045084971874739,0.0,4.0
7,89.6,0.4266,86.19,0.9516,74.36,94.17,0.0008715724127386972,0.0,4.0
8,90.0,0.3528,88.5,0.9513,75.27,94.37,0.0008345653031794292,0.0,4.0
9,89.9,0.3002,90.15,0.9511,75.41,94.62,0.0007938926261462366,0.0,4.0
10,89.7,0.2579,91.32,0.9793,75.88,94.54,0.00075,0.0,4.0
11,89.5,0.2067,93.0,0.9665,76.1,94.64,0.0007033683215379003,0.0,4.0
12,89.5,0.1735,94.18,1.0065,76.54,94.6,0.0006545084971874739,0.0,4.0
13,89.2,0.1422,95.32,1.0315,76.88,94.97,0.0006039558454088797,0.0,4.0
14,88.7,0.1132,96.27,0.9889,77.57,94.8,0.0005522642316338269,0.0,4.0
15,89.5,0.0968,96.84,1.0364,76.91,94.73,0.0005000000000000002,0.0,4.0
16,89.9,0.0735,97.63,1.0669,77.82,94.8,0.0004477357683661734,0.0,4.0
17,90.0,0.0541,98.38,1.0253,78.44,95.27,0.00039604415459112036,0.0,4.0
18,91.3,0.0437,98.64,1.0567,78.55,95.34,0.0003454915028125264,0.0,4.0
19,89.9,0.0337,99.01,1.0507,79.12,95.17,0.00029663167846210003,0.0,4.0
20,90.2,0.0243,99.3,1.0442,79.03,95.43,0.00025000000000000017,0.0,4.0
21,89.1,0.0184,99.52,1.0321,79.58,95.44,0.00020610737385376354,0.0,4.0
22,89.6,0.0147,99.64,1.0369,79.8,95.43,0.00016543469682057108,0.0,4.0
23,89.7,0.0099,99.76,1.042,79.96,95.75,0.00012842758726130303,0.0,4.0
24,89.3,0.0066,99.87,1.029,80.44,95.59,9.549150281252637e-05,0.0,4.0
25,89.6,0.0063,99.86,1.0371,80.64,95.72,6.698729810778068e-05,0.0,4.0
26,89.3,0.0042,99.93,1.0378,80.67,95.67,4.322727117869953e-05,0.0,4.0
27,91.0,0.0035,99.92,1.0281,80.57,95.65,2.447174185242324e-05,0.0,4.0
28,89.8,0.003,99.94,1.0302,80.93,95.76,1.092619963309716e-05,0.0,4.0
29,90.1,0.0027,99.95,1.0259,80.86,95.68,2.7390523158633003e-06,0.0,4.0
30,89.6,0.0024,99.96,1.0282,80.82,95.73,0.0,0.0,4.0
