Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,230.2,1.5514,57.34,1.1144,66.95,92.39,0.0009972609476841367,0.7,1.0
2,50.7,0.8642,73.97,0.9482,71.91,93.86,0.0009890738003669028,0.7,1.0
3,51.7,0.6564,79.82,0.9512,72.39,93.64,0.0009755282581475768,0.7,1.0
4,51.8,0.5353,83.11,0.8804,74.55,94.7,0.0009567727288213003,0.7,1.0
5,51.6,0.4271,86.36,0.9003,74.63,94.62,0.0009330127018922195,0.7,1.0
6,51.6,0.3449,88.88,0.9418,74.84,94.38,0.0009045084971874739,0.7,1.0
7,51.8,0.2844,90.77,0.9162,75.29,94.66,0.0008715724127386972,0.7,1.0
8,52.2,0.2376,92.23,0.9541,75.52,94.52,0.0008345653031794292,0.7,1.0
9,51.8,0.1861,93.9,0.9362,76.58,94.73,0.0007938926261462366,0.7,1.0
10,51.3,0.148,95.14,0.9906,76.26,95.0,0.00075,0.7,1.0
11,51.4,0.1213,96.0,1.0347,76.52,94.66,0.0007033683215379003,0.7,1.0
12,51.4,0.0996,96.8,1.0184,76.94,95.0,0.0006545084971874739,0.7,1.0
13,51.5,0.0844,97.24,1.0182,77.6,94.96,0.0006039558454088797,0.7,1.0
14,51.7,0.0665,97.85,1.0255,77.89,95.22,0.0005522642316338269,0.7,1.0
15,51.6,0.0485,98.55,0.9907,78.64,95.2,0.0005000000000000002,0.7,1.0
16,51.4,0.0411,98.73,1.0176,78.89,95.54,0.0004477357683661734,0.7,1.0
17,51.1,0.0262,99.24,1.0035,79.29,95.67,0.00039604415459112036,0.7,1.0
18,51.6,0.0189,99.46,1.0225,79.69,95.63,0.0003454915028125264,0.7,1.0
19,51.6,0.0137,99.63,1.0028,80.33,95.95,0.00029663167846210003,0.7,1.0
20,51.6,0.0103,99.75,1.0124,80.02,95.86,0.00025000000000000017,0.7,1.0
21,51.8,0.0073,99.84,1.0063,80.27,95.91,0.00020610737385376354,0.7,1.0
22,51.6,0.0045,99.92,1.0121,80.41,95.97,0.00016543469682057108,0.7,1.0
23,50.9,0.0037,99.91,1.0026,80.67,96.14,0.00012842758726130303,0.7,1.0
24,50.2,0.0029,99.95,0.9915,81.03,96.14,9.549150281252637e-05,0.7,1.0
25,52.8,0.0022,99.95,1.0043,80.74,96.1,6.698729810778068e-05,0.7,1.0
26,48.4,0.0017,99.97,0.9979,81.01,96.09,4.322727117869953e-05,0.7,1.0
27,50.0,0.0015,99.96,1.0031,80.96,96.17,2.447174185242324e-05,0.7,1.0
28,49.9,0.0014,99.97,0.9937,81.23,96.26,1.092619963309716e-05,0.7,1.0
29,49.4,0.0011,99.98,0.9963,81.06,96.21,2.7390523158633003e-06,0.7,1.0
30,49.5,0.0011,99.99,0.9976,81.16,96.24,0.0,0.7,1.0
