Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,154.3,39.3654,7.12,5.2634,11.73,35.31,0.0009972609476841367,0.7,4.0
2,48.4,33.4712,16.14,5.2678,18.81,46.57,0.0009890738003669028,0.7,4.0
3,46.8,29.749,23.17,4.8884,25.33,57.37,0.0009755282581475768,0.7,4.0
4,46.6,26.662,29.01,4.8644,29.77,61.38,0.0009567727288213003,0.7,4.0
5,48.4,24.3202,33.87,4.5416,33.51,65.36,0.0009330127018922195,0.7,4.0
6,48.8,22.3881,38.1,4.0079,38.96,71.28,0.0009045084971874739,0.7,4.0
7,48.9,20.9175,41.29,4.1084,41.27,72.8,0.0008715724127386972,0.7,4.0
8,49.0,19.6821,44.27,3.9392,42.94,74.78,0.0008345653031794292,0.7,4.0
9,46.1,18.7131,46.43,3.8324,44.4,75.48,0.0007938926261462366,0.7,4.0
10,44.8,17.8159,48.2,3.9006,45.03,76.36,0.00075,0.7,4.0
11,48.4,17.0729,50.23,3.6073,48.26,78.89,0.0007033683215379003,0.7,4.0
12,48.9,16.3935,52.06,3.7349,47.65,78.26,0.0006545084971874739,0.7,4.0
13,48.5,15.7485,53.7,3.6063,49.76,79.22,0.0006039558454088797,0.7,4.0
14,48.6,15.1922,55.06,3.5104,50.44,80.42,0.0005522642316338269,0.7,4.0
15,48.6,14.7004,56.32,3.4471,50.97,80.83,0.0005000000000000002,0.7,4.0
16,48.8,14.2941,57.44,3.3593,51.87,81.72,0.0004477357683661734,0.7,4.0
17,47.9,13.8909,58.52,3.398,52.32,81.7,0.00039604415459112036,0.7,4.0
18,48.8,13.4489,59.87,3.3658,52.68,81.34,0.0003454915028125264,0.7,4.0
19,49.2,13.1132,60.64,3.3709,52.79,82.14,0.00029663167846210003,0.7,4.0
20,48.9,12.8099,61.5,3.2817,54.13,82.58,0.00025000000000000017,0.7,4.0
21,49.2,12.5493,62.58,3.3509,53.71,82.64,0.00020610737385376354,0.7,4.0
22,47.4,12.2774,63.16,3.29,54.21,83.19,0.00016543469682057108,0.7,4.0
23,46.8,12.019,64.15,3.3404,54.21,82.96,0.00012842758726130303,0.7,4.0
24,46.5,11.8047,64.94,3.3068,54.66,83.11,9.549150281252637e-05,0.7,4.0
25,46.8,11.6905,65.05,3.3065,54.36,83.34,6.698729810778068e-05,0.7,4.0
26,47.5,11.5448,65.43,3.2857,54.59,83.14,4.322727117869953e-05,0.7,4.0
27,47.3,11.4455,65.74,3.2848,54.81,83.08,2.447174185242324e-05,0.7,4.0
28,48.3,11.3658,66.13,3.2922,55.03,83.29,1.092619963309716e-05,0.7,4.0
29,47.8,11.3151,66.33,3.2771,54.91,83.11,2.7390523158633003e-06,0.7,4.0
30,47.9,11.2737,66.34,3.2816,54.76,83.36,0.0,0.7,4.0
